"fund","weight in portfolio","portfolio value","bond","country","issuer","maturity","rating"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Antero Res Fin 6%","USA","ANTERO RESOURCES","1/12/2020","BB3"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Antero Res 5.125%","USA","ANTERO RESOURCES","1/12/2022","BB3"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Concho Res 6.5%","","CONCHO RES/MIDLA","15/1/2022","BB2"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Concho Res 5.5%","","CONCHO RES/MIDLA","1/4/2023","BB2"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Dcp Midstream 144A 6.75%","USA","DCP MIDSTREAM","15/9/2037","BB2"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Denbury Res 6.375%","USA","DENBURY RESOURCE","15/8/2021","CCC2"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Denbury Res Inc Del 4.625%","","DENBURY RESOURCE","15/7/2023","CCC2"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Duke Engy Field Svcs 8.125%","USA","DUKE ENERGY FIEL","16/8/2030","BB2"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Oneok Inc New 6%","USA","ONEOK INC","15/6/2035","BB1"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Oneok Inc New 4.25%","USA","ONEOK INC","1/2/2022","BB1"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Pbf Hldg Co Llc / Pbf Fin 8.25%","USA","PBF HOLDING CO","15/2/2020","BB2"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Pbf Hldg Co Llc / Pbf Fin 144A 7%","USA","PBF HOLDING CO","15/11/2023","BB2"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Qep Res 6.875%","USA","QEP RESOURCES","1/3/2021","BB3"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Questar Mkt Res 6.8%","USA","QUESTAR MARKET","1/4/2018","BB3"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Range Res 5.75%","USA","RANGE RESOURCES","1/6/2021","BB3"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Range Res 5%","USA","RANGE RESOURCES","15/3/2023","BB3"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Rockies Express Pipe 144A 6.85%","USA","ROCKIES EXPRESS","15/7/2018","BB2"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Rockies Express Pipe 144A 5.625%","USA","ROCKIES EXPRESS","15/4/2020","BB2"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Tesoro 5.375%","USA","TESORO CORP","1/10/2022","BB2"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Western Refng 6.25%","USA","WESTERN REFINING","1/4/2021","B2"
"Advisory Research MLP & Energy Income I",19.61,"  768,719,234 ","Williams Cos Inc Del 8.75%","USA","WILLIAMS COS","15/3/2032","BB1"
"Timothy Plan High Yield Bond A",28,"  43,801,137 ","Amerigas Fin Corp / 7%","USA","AMERIGAS FINANCE","20/5/2022","BB2"
"Timothy Plan High Yield Bond A",28,"  43,801,137 ","Antero Res Fin 5.375%","","ANTERO RESOURCES","1/11/2021","BB3"
"Timothy Plan High Yield Bond A",28,"  43,801,137 ","Calfrac Hldgs 144A 7.5%","CAN","CALFRAC HLDGS","1/12/2020","B3"
"Timothy Plan High Yield Bond A",28,"  43,801,137 ","Calumet Specialty Prods Partne 6.5%","USA","CALUMET SPECIAL","15/4/2021","B2"
"Timothy Plan High Yield Bond A",28,"  43,801,137 ","Crestwood Midstream Prtnrs 6%","","CRESTWOOD MIDSTR","15/12/2020","B1"
"Timothy Plan High Yield Bond A",28,"  43,801,137 ","Dcp Midstream 144A FRN","USA","DCP MIDSTREAM","21/5/2023","B1"
